ST;PS;0_P1;1_P1;P1;T;0_P2;1_P2;P2;P2-P1
G;CM2;38;1;0.02564102564102564;GN;37;2;0.05128205128205128;0.02564102564102564
G;CM3;38;1;0.02564102564102564;AN;37;2;0.05128205128205128;0.02564102564102564
G;CM3;38;1;0.02564102564102564;AN1;37;2;0.05128205128205128;0.02564102564102564
G;CM3;38;1;0.02564102564102564;AN2;37;2;0.05128205128205128;0.02564102564102564
G;CM3;38;1;0.02564102564102564;AN3;38;1;0.02564102564102564;0.0
G;CM3;38;1;0.02564102564102564;AN4;38;1;0.02564102564102564;0.0
G;CM3;38;1;0.02564102564102564;GN;38;1;0.02564102564102564;0.0
G;PT2;31;1;0.03125;AN;19;13;0.40625;0.375
G;PT2;31;1;0.03125;AN1;20;12;0.375;0.34375
G;PT2;31;1;0.03125;AN2;20;12;0.375;0.34375
G;PT2;31;1;0.03125;AN3;20;12;0.375;0.34375
G;PT2;31;1;0.03125;AN4;22;10;0.3125;0.28125
G;PT2;31;1;0.03125;GN;22;10;0.3125;0.28125
G;PT3;29;3;0.09375;AN;24;8;0.25;0.15625
G;PT3;29;3;0.09375;AN1;24;8;0.25;0.15625
G;PT3;29;3;0.09375;AN2;24;8;0.25;0.15625
G;PT3;29;3;0.09375;AN3;25;7;0.21875;0.125
G;PT3;29;3;0.09375;AN4;25;7;0.21875;0.125
G;PT3;29;3;0.09375;GN;26;6;0.1875;0.09375
