PS;P;S;BACC;Train_Risk;Test_Risk;P1;#Feat;CO;DT;BAL;C;REC
AR2;AR;2;0.8658808537750876;0.5;0.3706896551724138;0.3534482758620689;38;0;0.35;S;RF;0.813953488372093
AR3;AR;3;0.935011150047786;0.5;0.3706896551724138;0.3362068965517241;32;4;0.45;R;RF;0.8837209302325582
CM2;CM;2;0.9200153080750096;0.3657957244655582;0.6320754716981132;0.5566037735849056;36;1;0.3;N;SVC;0.8656716417910447
CM3;CM;3;0.9274779946421736;0.5;0.6320754716981132;0.5660377358490566;74;0;0.45;S;RF;0.8805970149253731
PT2;PT;2;0.9129464285714286;0.5;0.3962264150943396;0.3584905660377358;16;3;0.3;S;LSVC;0.8571428571428571
PT3;PT;3;0.8816964285714286;0.5;0.3962264150943396;0.3962264150943396;47;3;0.3;S;LSVC;0.8571428571428571
